"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Kindred";"14";"6.3%";"9";"5";"4";"2";"3";"40%";"2.6";"3.2";"6.2";"2.75";"190.4";"6.25";"10.9";"358";"77.2%";"22.8%";"20.5%";""
"Orianna";"13";"5.8%";"3";"10";"6";"3";"7";"30%";"2.3";"1.7";"3.9";"3.65";"304.8";"8.7";"13.2";"377";"76.5%";"28.4%";"22.7%";""
"Camille";"13";"5.8%";"5";"8";"5";"3";"5";"37.5%";"2.63";"2";"2";"2.31";"281.75";"8.64";"13";"398";"69.8%";"39.6%";"23.7%";""
"Maokai";"12";"5.4%";"5";"7";"5";"2";"5";"28.6%";"1.14";"3.57";"3.71";"1.36";"210.57";"7.32";"9.5";"328";"72.3%";"17%";"19.9%";""
"Karthus";"12";"5.4%";"6";"6";"3";"2";"4";"33.3%";"2.5";"3";"3.33";"1.94";"233.83";"7.07";"11.8";"358";"76.1%";"32.6%";"21.2%";""
"Yasuo";"12";"5.4%";"10";"2";"2";"1";"1";"50%";"1.5";"1.5";"3.5";"3.33";"306";"8.75";"13.2";"378";"76.9%";"23.1%";"22.4%";""
"Quinn";"11";"4.9%";"8";"3";"3";"1";"2";"33.3%";"1.67";"3";"3.33";"1.67";"319.67";"9.52";"14.2";"422";"35.7%";"11.9%";"23.9%";""
"Diana";"10";"4.5%";"4";"6";"4";"3";"3";"50%";"2.17";"2.33";"4.5";"2.86";"224.17";"6.78";"11.5";"347";"64.5%";"21%";"20%";""
"Ryze";"10";"4.5%";"4";"6";"5";"3";"3";"50%";"3.5";"1.83";"4.5";"4.36";"328.5";"9.8";"14.4";"429";"63.2%";"27.6%";"24.1%";""
"Corki";"9";"4%";"4";"5";"3";"2";"3";"40%";"2.6";"1.6";"2.4";"3.13";"326.8";"10.19";"13.6";"425";"73.5%";"38.2%";"24.8%";""
"Bard";"8";"3.6%";"1";"7";"4";"4";"3";"57.1%";"0.86";"1.43";"7.86";"6.1";"36.86";"1.03";"8.3";"232";"74.4%";"7.3%";"12.9%";""
"Pyke";"8";"3.6%";"2";"6";"3";"3";"3";"50%";"1.5";"2";"4.83";"3.17";"53.33";"1.6";"8.5";"256";"61.3%";"14.5%";"14.9%";""
"Ashe";"8";"3.6%";"3";"5";"3";"2";"3";"40%";"1.6";"3";"5.4";"2.33";"325.4";"9.4";"14.2";"412";"68.6%";"15.7%";"24.7%";""
