"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Zac";"3";"3.2%";"-";"3";"3";"0";"3";"0%";"0.33";"4.67";"2.67";"0.64";"185.33";"5.74";"9";"280";"47.4%";"5.3%";"18.3%";""
"Morgana";"3";"3.2%";"1";"2";"2";"1";"1";"50%";"2.5";"0";"4.5";"14";"130";"4.45";"9.1";"313";"70%";"25%";"18.5%";""
"Ahri";"3";"3.2%";"1";"2";"1";"0";"2";"0%";"4.5";"3";"2.5";"2.33";"248";"7.53";"12.3";"373";"73.7%";"47.4%";"24%";""
"Karthus";"3";"3.2%";"2";"1";"1";"0";"1";"0%";"2";"6";"1";"0.5";"217";"6.77";"10.3";"321";"42.9%";"28.6%";"20.6%";""
"Malzahar";"2";"2.1%";"-";"2";"1";"2";"0";"100%";"3";"0.5";"6.5";"19";"287";"9.64";"14";"470";"65.5%";"20.7%";"24.8%";""
"Alistar";"2";"2.1%";"-";"2";"1";"1";"1";"50%";"0";"2.5";"8";"3.2";"34";"1.13";"6.4";"212";"69.6%";"0%";"12.6%";""
"Jayce";"2";"2.1%";"-";"2";"2";"1";"1";"50%";"8.5";"2";"3.5";"6";"278.5";"8.78";"14.8";"467";"75%";"53.1%";"25.8%";""
"Ziggs";"2";"2.1%";"-";"2";"2";"1";"1";"50%";"1";"1";"4";"5";"162";"5.24";"10.2";"328";"52.6%";"10.5%";"19.1%";""
"Janna";"2";"2.1%";"1";"1";"1";"1";"0";"100%";"1";"1";"10";"11";"175";"3.44";"14.9";"293";"78.6%";"7.1%";"16.8%";""
"Karma";"2";"2.1%";"1";"1";"1";"0";"1";"0%";"1";"5";"0";"0.2";"196";"6.58";"8.4";"281";"33.3%";"33.3%";"19.4%";""
"Kindred";"2";"2.1%";"1";"1";"1";"0";"1";"0%";"2";"6";"6";"1.33";"205";"5.3";"11.9";"307";"88.9%";"22.2%";"18.5%";""
"Bard";"1";"1.1%";"-";"1";"1";"1";"0";"100%";"3";"1";"12";"15";"46";"1.33";"10.6";"306";"71.4%";"14.3%";"16%";""
"Cho'Gath";"1";"1.1%";"-";"1";"1";"1";"0";"100%";"4";"3";"6";"3.33";"221";"6.13";"12.4";"343";"58.8%";"23.5%";"18.8%";""
"Pyke";"1";"1.1%";"-";"1";"1";"1";"0";"100%";"6";"2";"7";"6.5";"52";"1.74";"12.1";"407";"61.9%";"28.6%";"18.9%";""
"Quinn";"1";"1.1%";"-";"1";"1";"1";"0";"100%";"4";"3";"10";"4.67";"263";"8.51";"14.9";"481";"53.8%";"15.4%";"23.1%";""
"Tristana";"1";"1.1%";"-";"1";"1";"1";"0";"100%";"5";"0";"2";"7";"343";"10.61";"15.4";"475";"87.5%";"62.5%";"27.4%";""
"Veigar";"1";"1.1%";"-";"1";"1";"1";"0";"100%";"4";"0";"2";"6";"203";"8.26";"10.5";"427";"66.7%";"44.4%";"23.4%";""
"Anivia";"1";"1.1%";"-";"1";"1";"0";"1";"0%";"0";"2";"1";"0.5";"275";"8.87";"10.6";"341";"100%";"0%";"22.3%";""
"Galio";"1";"1.1%";"-";"1";"1";"0";"1";"0%";"0";"2";"6";"3";"64";"2.11";"6.5";"215";"85.7%";"0%";"13.6%";""
"Jinx";"1";"1.1%";"-";"1";"1";"0";"1";"0%";"0";"2";"0";"0";"325";"10.48";"11.8";"382";"0%";"0%";"25.1%";""
"Maokai";"1";"1.1%";"-";"1";"1";"0";"1";"0%";"1";"3";"0";"0.33";"229";"7.61";"9.3";"308";"100%";"100%";"21.6%";""
"Neeko";"1";"1.1%";"-";"1";"1";"0";"1";"0%";"2";"6";"2";"0.67";"214";"7.94";"9";"333";"44.4%";"22.2%";"21%";""
"Sona";"1";"1.1%";"-";"1";"1";"0";"1";"0%";"2";"1";"11";"13";"275";"7.02";"14.2";"362";"100%";"15.4%";"21.9%";""
"Vel'Koz";"1";"1.1%";"-";"1";"1";"0";"1";"0%";"1";"2";"2";"1.5";"271";"8.07";"10.9";"325";"50%";"16.7%";"20.7%";""
"Lissandra";"1";"1.1%";"1";"-";"-";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Sivir";"1";"1.1%";"1";"-";"-";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
